vehicleParameterScenario;subCategory;country;parameter;truckClass;truckTechnology;unit;note;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
MC_MTM; Energy ;All;Specific Energy Consumption;Rigid;BET large battery;kWh/100km;Closer together (rigid & articulated) as proposed by Traton -> 90% of Tractor-trailer (prev. 85%);124;128;124;121;117;114;112;110;108;106;105;104;103;102;101;100;99;98;97;96;95;95;95;95;95;95;95;95;95;95;95
MC_MTM; Energy ;All;Specific Energy Consumption;Rigid;BET small battery;kWh/100km;Closer together (rigid & articulated) as proposed by Traton -> 90% of Tractor-trailer (prev. 85%);120;123;120;116;113;109;107;105;104;102;100;99;98;97;96;95;94;93;92;91;90;90;90;90;90;90;90;90;90;90;90
MC_MTM; Vehicle Spec ;All;Emergency Range;Tractor-trailer;BET large battery;km;battery sizing remains constant. Limit technical feasibility by lowering with 30km. ;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
MC_MTM; Vehicle Spec ;All;Emergency Range;Tractor-trailer;BET small battery;km;battery sizing remains constant. Limit technical feasibility by lowering with 30km. ;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
MC_MTM; Vehicle Spec ;All;Emergency Range;Rigid;BET large battery;km;battery sizing remains constant. Limit technical feasibility by lowering with 30km. ;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
MC_MTM; Vehicle Spec ;All;Emergency Range;Rigid;BET small battery;km;battery sizing remains constant. Limit technical feasibility by lowering with 30km. ;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30;30
MC_MTM; Vehicle Spec ;All;Range;Tractor-trailer;BET large battery;km;calc. rounded;240;260;280;310;330;360;380;400;420;440;460;490;510;530;550;580;590;610;630;640;660;680;690;710;730;740;740;740;740;740;740
MC_MTM; Vehicle Spec ;All;Range;Tractor-trailer;BET small battery;km;calc. rounded;140;160;170;190;210;230;240;260;270;290;310;320;330;350;360;380;380;390;400;400;410;420;420;430;440;440;440;440;440;440;440
MC_MTM; Vehicle Spec ;All;Range;Rigid;BET large battery;km;calc. rounded;240;250;270;300;320;350;370;390;400;420;440;470;490;520;540;570;580;600;620;630;650;670;680;700;720;740;740;740;740;740;740
MC_MTM; Vehicle Spec ;All;Range;Rigid;BET small battery;km;calc. rounded;130;140;160;180;200;230;240;250;270;280;300;310;330;350;360;380;390;400;410;410;420;430;430;440;440;450;450;450;450;450;450
