"country";"truckClass";"truckTechnology";"vehicleParameterScenario";"period";"paperScen";"parameter";"unit";"value"
"DE";"Rigid";"BET large battery";"HC_LTM";2045;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Battery";"EUR/veh";128115
"DE";"Rigid";"BET large battery";"HC_LTM";2045;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Glider/Vehicle body invest without drivetrain";"EUR/veh";101250
"DE";"Rigid";"BET large battery";"HC_LTM";2045;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Electric motor costs";"EUR/veh";8694
"DE";"Rigid";"BET large battery";"HC_LTM";2045;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Power electronics costs";"EUR/veh";8316
"DE";"Rigid";"BET large battery";"HC_LTM";2045;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Battery";"EUR/veh";128115
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Current policies";"Glider/Vehicle body invest without drivetrain";"EUR/veh";103000
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Current policies";"Electric motor costs";"EUR/veh";8316
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Current policies";"Power electronics costs";"EUR/veh";7560
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Current policies";"Battery";"EUR/veh";118260
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Removed policies";"Glider/Vehicle body invest without drivetrain";"EUR/veh";103000
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Removed policies";"Electric motor costs";"EUR/veh";8316
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Removed policies";"Power electronics costs";"EUR/veh";7560
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Removed policies";"Battery";"EUR/veh";118260
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Current Policies | Removed CO2 price";"Glider/Vehicle body invest without drivetrain";"EUR/veh";103000
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Current Policies | Removed CO2 price";"Electric motor costs";"EUR/veh";8316
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Current Policies | Removed CO2 price";"Power electronics costs";"EUR/veh";7560
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Current Policies | Removed CO2 price";"Battery";"EUR/veh";118260
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Current Policies | Urban depot-only charging";"Glider/Vehicle body invest without drivetrain";"EUR/veh";103000
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Current Policies | Urban depot-only charging";"Electric motor costs";"EUR/veh";8316
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Current Policies | Urban depot-only charging";"Power electronics costs";"EUR/veh";7560
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Current Policies | Urban depot-only charging";"Battery";"EUR/veh";118260
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Current policies | Removed diesel efficiency gains";"Glider/Vehicle body invest without drivetrain";"EUR/veh";103000
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Current policies | Removed diesel efficiency gains";"Electric motor costs";"EUR/veh";8316
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Current policies | Removed diesel efficiency gains";"Power electronics costs";"EUR/veh";7560
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Current policies | Removed diesel efficiency gains";"Battery";"EUR/veh";118260
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Removed policies except for H2 tax reduction";"Glider/Vehicle body invest without drivetrain";"EUR/veh";103000
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Removed policies except for H2 tax reduction";"Electric motor costs";"EUR/veh";8316
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Removed policies except for H2 tax reduction";"Power electronics costs";"EUR/veh";7560
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Removed policies except for H2 tax reduction";"Battery";"EUR/veh";118260
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Glider/Vehicle body invest without drivetrain";"EUR/veh";103000
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Electric motor costs";"EUR/veh";8316
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Power electronics costs";"EUR/veh";7560
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Removed policies except for bio/syn fuel mandates";"Battery";"EUR/veh";118260
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Glider/Vehicle body invest without drivetrain";"EUR/veh";103000
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Electric motor costs";"EUR/veh";8316
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Power electronics costs";"EUR/veh";7560
"DE";"Rigid";"BET large battery";"HC_LTM";2050;"Sensitivity | Removed policies | Removed diesel efficiency gains";"Battery";"EUR/veh";118260
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Current policies";"Glider/Vehicle body invest without drivetrain";"EUR/veh";96000
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Current policies";"Electric motor costs";"EUR/veh";6756,4
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Current policies";"Power electronics costs";"EUR/veh";6400,8
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Current policies";"Battery";"EUR/veh";78232
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Removed policies";"Glider/Vehicle body invest without drivetrain";"EUR/veh";96000
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Removed policies";"Electric motor costs";"EUR/veh";6756,4
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Removed policies";"Power electronics costs";"EUR/veh";6400,8
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Removed policies";"Battery";"EUR/veh";78232
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Current Policies | Removed CO2 price";"Glider/Vehicle body invest without drivetrain";"EUR/veh";96000
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Current Policies | Removed CO2 price";"Electric motor costs";"EUR/veh";6756,4
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Current Policies | Removed CO2 price";"Power electronics costs";"EUR/veh";6400,8
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Current Policies | Removed CO2 price";"Battery";"EUR/veh";78232
"DE";"Rigid";"BET large battery";"LC_HTM";2030;"Sensitivity | Current Policies | Urban depot-only charging";"Glider/Vehicle body invest without drivetrain";"EUR/veh";96000
