"country";"energyCarrierParameterScenario";"period";"value";"paperScen";"energyCarrier";"parameter";"unit"
"UK";"BAU";2035;0,159;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"DE";"BAU";2035;0,239;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"ES";"BAU";2035;0,239;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"FR";"BAU";2035;0,239;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"IT";"BAU";2035;0,239;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"NL";"BAU";2035;0,239;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"PL";"BAU";2035;0,239;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"UK";"BAU";2035;0,239;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"FR";"BAU";2040;0,172;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"DE";"BAU";2040;0,172;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"ES";"BAU";2040;0,172;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"IT";"BAU";2040;0,172;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"NL";"BAU";2040;0,172;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"PL";"BAU";2040;0,172;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"UK";"BAU";2040;0,172;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"DE";"BAU";2040;0,218;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"ES";"BAU";2040;0,218;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"FR";"BAU";2040;0,218;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"IT";"BAU";2040;0,218;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"NL";"BAU";2040;0,218;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"PL";"BAU";2040;0,218;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"UK";"BAU";2040;0,218;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"FR";"BAU";2045;0,17;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"DE";"BAU";2045;0,17;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"ES";"BAU";2045;0,17;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"IT";"BAU";2045;0,17;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"NL";"BAU";2045;0,17;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"PL";"BAU";2045;0,17;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"UK";"BAU";2045;0,17;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"DE";"BAU";2045;0,196;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"ES";"BAU";2045;0,196;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"FR";"BAU";2045;0,196;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"IT";"BAU";2045;0,196;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"NL";"BAU";2045;0,196;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"PL";"BAU";2045;0,196;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"UK";"BAU";2045;0,196;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"FR";"BAU";2050;0,152;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"DE";"BAU";2050;0,152;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"ES";"BAU";2050;0,152;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"IT";"BAU";2050;0,152;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"NL";"BAU";2050;0,152;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"PL";"BAU";2050;0,152;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"UK";"BAU";2050;0,152;"Current policies";"Diesel bio";"Wholesale";"EUR/kWh"
"DE";"BAU";2050;0,175;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"ES";"BAU";2050;0,175;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"FR";"BAU";2050;0,175;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"IT";"BAU";2050;0,175;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"NL";"BAU";2050;0,175;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"PL";"BAU";2050;0,175;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
"UK";"BAU";2050;0,175;"Current policies";"Diesel syn";"Wholesale";"EUR/kWh"
