;type;tfl_av;tfl_max;wfl;jfl;bet_sr_feas_pess;bet_lr_feas_pess;bet_sr_share_pess;bet_lr_share_pess;bet_sr_feas_med;bet_lr_feas_med;bet_sr_share_med;bet_lr_share_med;bet_sr_feas_opt;bet_lr_feas_opt;bet_sr_share_opt;bet_lr_share_opt;bet_sr_feas_med5YDelayMCS;bet_lr_feas_med5YDelayMCS;bet_sr_share_med5YDelayMCS;bet_lr_share_med5YDelayMCS
0;rig;328;599;1647;76835.191;1.0;1.0;0.9967643893272452;3.14519348905435e-05;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.94173314827703;0.0548718257132634
1;rig;671;889;3362;156842.692;0.0;1.0;0.0;0.9967643893272452;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.94173314827703;0.0548718257132634
2;rig;320;397;1603;74782.521;1.0;1.0;0.9967643893272452;3.14519348905435e-05;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.94173314827703;0.0548718257132634
3;rig;260;353;1303;60787.04;1.0;1.0;0.9967643893272452;1.2906494914704084e-07;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.94173314827703;0.0548718257132634
4;rig;585;719;2930;136689.199;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.94173314827703;0.0548718257132634
5;rig;653;869;3924;183060.893;0.0;1.0;0.0;0.9967643893272452;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.94173314827703;0.0548718257132634
6;rig;272;388;1366;63726.091;1.0;1.0;0.9967643893272452;3.14519348905435e-05;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.94173314827703;0.0548718257132634
7;rig;75;117;378;17634.306;1.0;1.0;0.0;0.0;1.0;1.0;0.9967643893272452;0.0;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.94173314827703;0.0
8;rig;110;136;553;25798.337;1.0;1.0;0.0;0.0;1.0;1.0;0.9967643893272452;0.0028227526448015;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.94173314827703;0.0480256730855064
9;rig;197;219;991;46231.739;1.0;1.0;0.0097205560469255;0.0;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.94173314827703;0.0548718257132634
10;rig;76;115;387;18054.171;1.0;1.0;0.0;0.0;1.0;1.0;0.9967643893272452;0.0;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.94173314827703;0.0
11;rig;157;290;788;36761.464;1.0;1.0;3.988889956193619e-05;0.0;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.94173314827703;0.0548718257132634
12;rig;749;1494;3750;174943.514;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.9967643893272452;0.0;0.0;0.0;0.0
13;rig;79;92;398;18567.338;1.0;1.0;0.0;0.0;1.0;1.0;0.9967643893272452;0.0;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.94173314827703;0.0
14;rig;278;402;1396;65125.639;1.0;1.0;0.9967643893272452;3.14519348905435e-05;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.9967643893272452;0.0032251414963291;1.0;1.0;0.94173314827703;0.0548718257132634
15;rig;951;1439;4763;222201.588;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.9967643893272452;0.0;1.0;0.0;0.9967643893272452;0.0;1.0;0.0;0.94173314827703
